release_year,year_sales
1977,2.5
1978,2.36
1979,0.31
1980,2.26
1981,7.73
1982,28.99
1983,22.68
1984,4.85
1985,2.19
1986,10.35
1987,5.59
1988,8.73
1989,9.12
1990,9.07
1991,6.05
1992,9.38
1993,20.16
1994,36.85
1995,52.98
1996,101.36
1997,105.89
1998,132.23
1999,169.61
2000,171.12
2001,226.75
2002,314.5
2003,300.89
2004,284.68
2005,313.48
2006,244.42
2007,436.39
2008,538.11
2009,495.36
2010,454.02
2011,440.32
2012,285.47
2013,266.0
2014,292.11
2015,230.45
2016,208.02
2017,191.96
2018,148.03
2019,2.55
2020,3.45
