release_year,year_sales,console
2013,13.8,3DS
2013,1.62,DS
2013,5.07,PC
2013,94.15,PS3
2013,23.86,PS4
2013,3.14,PSP
2013,6.97,PSV
2013,9.39,Wii
2013,9.9,WiiU
2013,81.17,X360
2013,16.93,XOne
2014,12.53,3DS
2014,0.07,DS
2014,10.99,PC
2014,50.99,PS3
2014,96.78,PS4
2014,0.37,PSP
2014,13.74,PSV
2014,3.86,Wii
2014,6.06,WiiU
2014,35.33,X360
2014,61.39,XOne
2015,9.57,3DS
2015,5.17,PC
2015,20.03,PS3
2015,111.69,PS4
2015,0.59,PSN
2015,0.14,PSP
2015,7.61,PSV
2015,1.4,Wii
2015,6.44,WiiU
2015,14.82,X360
2015,52.99,XOne
2016,10.72,3DS
2016,0.02,DS
2016,6.46,PC
2016,0.12,PS2
2016,6.65,PS3
2016,112.96,PS4
2016,0.04,PSP
2016,8.22,PSV
2016,1.0,Wii
2016,5.39,WiiU
2016,3.68,X360
2016,52.76,XOne
2017,12.48,3DS
2017,15.84,NS
2017,1.53,PC
2017,1.13,PS3
2017,109.23,PS4
2017,3.7,PSV
2017,0.39,Wii
2017,0.25,WiiU
2017,0.6,X360
2017,46.81,XOne
2018,2.54,3DS
2018,20.2,NS
2018,1.47,PC
2018,0.04,PS3
2018,83.95,PS4
2018,1.27,PSV
2018,0.25,Wii
2018,0.1,WiiU
2018,0.13,X360
2018,38.08,XOne
2019,1.03,3DS
2019,0.27,NS
2019,0.02,PC
2019,1.23,PS4
2020,0.06,3DS
2020,0.35,DS
2020,0.66,GBA
2020,0.12,NS
2020,0.13,PC
2020,0.02,PS2
2020,0.35,PS3
2020,0.22,PS4
2020,1.06,PSP
2020,0.16,PSV
2020,0.15,SAT
2020,0.17,Wii
2020,0.0,WiiU
